Mean_Latency_us,StdDev_us,CV,Usleep_Val
1842.94,19.84,0.0108,500
1853.23,87.02,0.0470,500
1845.17,83.36,0.0452,500
1844.91,146.09,0.0792,500
1839.65,83.20,0.0452,500
1843.24,81.61,0.0443,500
1839.11,220.91,0.1201,500
1795.84,85.25,0.0475,550
1847.63,81.27,0.0440,500
1842.62,81.93,0.0445,500
1846.23,37.96,0.0206,500
1849.98,106.40,0.0575,500
1841.48,80.47,0.0437,500
1840.38,83.95,0.0456,500
1852.95,86.22,0.0465,500
1852.67,88.45,0.0477,500
1843.01,86.03,0.0467,500
1844.90,87.10,0.0472,500
1841.26,86.58,0.0470,500
1840.81,84.70,0.0460,500
1843.12,84.60,0.0459,500
1845.13,85.44,0.0463,500
1840.63,84.80,0.0461,500
1843.16,86.25,0.0468,500
1842.38,84.67,0.0460,500
1843.73,87.04,0.0472,500
1854.48,87.37,0.0471,500
1849.64,82.45,0.0446,500
1839.81,87.51,0.0476,500
1841.22,91.09,0.0495,500
1841.99,83.58,0.0454,500
1842.96,84.27,0.0457,500
1843.27,84.52,0.0459,500
1843.62,88.81,0.0482,500
1841.67,94.01,0.0510,500
1842.20,90.35,0.0490,500
1838.94,84.27,0.0458,500
1844.04,85.58,0.0464,500
1842.91,85.11,0.0462,500
1843.19,86.11,0.0467,500
1837.49,89.68,0.0488,500
1845.23,85.08,0.0461,500
1843.16,84.01,0.0456,500
1839.98,265.74,0.1444,500
1789.41,84.17,0.0470,550
1842.71,84.70,0.0460,500
1839.85,83.53,0.0454,500
1842.75,84.26,0.0457,500
1841.96,82.74,0.0449,500
1841.17,84.60,0.0459,500
1842.30,82.04,0.0445,500
1842.25,85.30,0.0463,500
1850.30,85.11,0.0460,500
1847.76,84.93,0.0460,500
1840.39,85.92,0.0467,500
1844.40,83.98,0.0455,500
1843.23,88.76,0.0482,500
1844.52,88.93,0.0482,500
1850.79,82.01,0.0443,500
1854.19,86.60,0.0467,500
1842.28,82.74,0.0449,500
1846.61,81.54,0.0442,500
1850.75,82.64,0.0447,500
1852.57,82.97,0.0448,500
1842.68,83.22,0.0452,500
1844.49,85.81,0.0465,500
1853.36,86.48,0.0467,500
1850.54,81.32,0.0439,500
1842.88,89.82,0.0487,500
1845.92,87.27,0.0473,500
1841.83,81.94,0.0445,500
1845.69,86.09,0.0466,500
1840.30,83.00,0.0451,500
1845.60,83.52,0.0453,500
1841.10,85.14,0.0462,500
1843.99,92.07,0.0499,500
1843.09,83.28,0.0452,500
1845.72,84.37,0.0457,500
1845.10,83.49,0.0452,500
1842.84,86.32,0.0468,500
1845.08,84.20,0.0456,500
1846.29,84.19,0.0456,500
1840.32,83.73,0.0455,500
1842.26,86.63,0.0470,500
1840.29,85.27,0.0463,500
1839.68,209.25,0.1137,500
1788.10,88.83,0.0497,550
1844.08,86.52,0.0469,500
1850.86,84.84,0.0458,500
1854.72,90.04,0.0485,500
1838.63,86.20,0.0469,500
1841.82,84.24,0.0457,500
1838.25,84.03,0.0457,500
1845.47,85.79,0.0465,500
1836.66,78.90,0.0430,500
1842.96,90.54,0.0491,500
1841.04,84.24,0.0458,500
1843.38,83.95,0.0455,500
1842.14,85.11,0.0462,500
1841.86,83.87,0.0455,500
1838.60,82.79,0.0450,500
1843.10,84.54,0.0459,500
1843.04,83.65,0.0454,500
1846.72,78.64,0.0426,500
1843.49,81.98,0.0445,500
1843.70,83.94,0.0455,500
1842.35,84.30,0.0458,500
1843.28,83.68,0.0454,500
1840.57,83.57,0.0454,500
1839.78,82.26,0.0447,500
1851.13,84.25,0.0455,500
1854.31,87.30,0.0471,500
1842.18,83.16,0.0451,500
1841.49,86.04,0.0467,500
1845.82,84.82,0.0459,500
1841.53,82.80,0.0450,500
1845.14,83.20,0.0451,500
1845.09,86.51,0.0469,500
1839.64,84.55,0.0460,500
1843.09,85.53,0.0464,500
1839.39,82.95,0.0451,500
1842.48,83.81,0.0455,500
1844.64,84.68,0.0459,500
1841.72,84.43,0.0458,500
1839.69,83.72,0.0455,500
1846.13,86.02,0.0466,500
1846.05,83.96,0.0455,500
1842.17,84.30,0.0458,500
1840.01,85.93,0.0467,500
1846.97,90.32,0.0489,500
1841.89,81.71,0.0444,500
